0,0,Once,0.085
0,1,upon,0.464
0,2,a,0.703
0,3,"time,",0.812
0,4,there,1.201
0,5,was,1.285
0,6,a,1.395
0,7,little,1.46
0,8,boy,1.701
0,9,called,2.15
0,10,"Zico,",2.392
0,11,who,3.262
0,12,lived,3.37
0,13,on,3.683
0,14,the,3.766
0,15,planet,3.93
0,16,Zonar.,4.282
0,17,Everyone,5.448
0,18,on,5.831
0,19,the,5.946
0,20,planet,6.108
0,21,had,6.437
0,22,a,6.105
0,23,"superpower,",6.592
0,24,except,7.841
0,25,for,8.31
0,26,Zico.,8.314
0,27,Zico's,9.906
0,28,father,9.881
0,29,had,10.797
0,30,eyes,11.039
0,31,in,11.329
0,32,the,11.03
0,33,back,11.523
0,34,of,11.691
0,35,his,11.776
0,36,head,11.898
0,37,and,12.617
0,38,could,12.75
0,39,walk,12.925
0,40,backwards,13.223
0,41,without,13.683
0,42,falling,14.019
0,43,over.,14.359
0,44,His,15.543
0,45,mother,15.709
0,46,could,16.128
0,47,see,16.269
0,48,through,16.629
0,49,walls.,16.941
0,50,She,17.717
0,51,often,18.134
0,52,checked,18.454
0,53,to,18.901
0,54,see,18.969
0,55,whether,19.217
0,56,Zico,19.383
0,57,was,19.83
0,58,actually,20.085
0,59,doing,20.584
0,60,homework,20.876
0,61,in,21.282
0,62,his,21.391
0,63,"bedroom,",21.589
0,64,instead,22.363
0,65,of,22.773
0,66,playing,22.965
0,67,on,23.275
0,68,the,23.447
0,69,computer.,23.523
1,0,All,0
1,1,the,0.452
1,2,kids,0.612
1,3,at,0.933
1,4,Zico's,1.073
1,5,school,1.457
1,6,had,1.92
1,7,amazing,2.058
1,8,"powers,",2.725
1,9,too.,3.146
1,10,One,3.895
1,11,boy,4.238
1,12,could,4.49
1,13,fly,4.629
1,14,and,5.481
1,15,would,5.59
1,16,swoop,5.748
1,17,into,6.304
1,18,the,6.452
1,19,classroom,6.616
1,20,with,7.094
1,21,a,7.174
1,22,swish,7.265
1,23,of,7.774
1,24,his,7.85
1,25,cape.,8.053
1,26,Another,9.22
1,27,could,9.941
1,28,make,10.109
1,29,fireballs,10.479
1,30,by,11.463
1,31,clicking,11.681
1,32,his,11.993
1,33,fingers.,12.19
1,34,One,13.187
1,35,"time,",13.479
1,36,he'd,14.03
1,37,thrown,14.26
1,38,a,14.553
1,39,fireball,14.669
1,40,at,15.195
1,41,the,15.3
1,42,teacher.,15.418
1,43,She,16.456
1,44,hadn't,16.612
1,45,been,16.91
1,46,very,17.086
1,47,happy,17.322
1,48,about,17.608
1,49,it.,17.885
1,50,But,19.223
1,51,Zico,19.351
1,52,had,19.959
1,53,yet,20.174
1,54,to,20.435
1,55,discover,20.564
1,56,his,21.1
1,57,superpower.,21.294
1,58,It,22.658
1,59,was,22.783
1,60,so,22.03
1,61,embarrassing.,23.404
1,62,The,25.022
1,63,other,25.239
1,64,kids,25.46
1,65,at,25.748
1,66,school,25.83
1,67,made,26.297
1,68,fun,26.424
1,69,of,26.714
1,70,him.,26.797
1,71,"""Zico",27.667
1,72,has,28.061
1,73,no,28.376
1,74,"superpower,",28.469
1,75,Zico,29.286
1,76,has,29.703
1,77,no,29.96
1,78,"superpower"",",30.107
1,79,they,31.152
1,80,chanted.,31.376
2,0,Zico,0
2,1,pretended,0.692
2,2,that,1.335
2,3,he,1.438
2,4,didn't,1.587
2,5,"care,",1.942
2,6,and,2.577
2,7,would,2.701
2,8,stick,2.825
2,9,his,3.09
2,10,tongue,3.338
2,11,out,3.557
2,12,at,3.706
2,13,them.,3.949
2,14,This,4.762
2,15,made,4.996
2,16,the,5.208
2,17,girls,5.333
2,18,giggle.,5.761
2,19,All,6.96
2,20,the,7.163
2,21,"same,",7.236
2,22,deep,8.131
2,23,"down,",8.426
2,24,he,9.002
2,25,did,9.227
2,26,care.,9.503
2,27,His,10.693
2,28,Mother,10.815
2,29,tried,11.2
2,30,to,11.54
2,31,comfort,11.655
2,32,him.,12.001
2,33,"""Your",13.164
2,34,time,13.583
2,35,will,13.965
2,36,"come"",",14.232
2,37,she,14.706
2,38,said.,14.918
2,39,But,16.026
2,40,Zico,16.154
2,41,didn't,16.791
2,42,want,17.098
2,43,to,17.322
2,44,wait.,17.468
2,45,He,18.367
2,46,hoped,18.646
2,47,that,18.907
2,48,he'd,19.05
2,49,discover,19.229
2,50,his,19.808
2,51,superpower,19.942
